resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states
GroundTruthProject,resource,"['create', 'get', 'get_all']","['refresh', 'wait_for_status']",[],[],"['CreateGroundTruthProject', 'DescribeGroundTruthProject', 'ListGroundTruthProjects']","[{'name': 'GroundTruthProjectStatus', 'shape_name': 'GroundTruthProjectStatus'}]","['Pending', 'Active']"
GroundTruthWorkflow,resource,"['create', 'get', 'get_all']",['refresh'],['GroundTruthProject'],[],"['CreateGroundTruthWorkflow', 'DescribeGroundTruthWorkflow', 'ListGroundTruthWorkflows']",[],[]
Hub,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateHub', 'DeleteHub', 'DescribeHub', 'ListHubs', 'UpdateHub']","[{'name': 'HubStatus', 'shape_name': 'HubStatus'}]","['InService', 'Creating', 'Updating', 'Deleting', 'CreateFailed', 'UpdateFailed', 'DeleteFailed']"
HubContent,resource,"['get', 'get_all', 'import']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['DeleteHubContent', 'DescribeHubContent', 'ImportHubContent', 'ListHubContents', 'UpdateHubContent']","[{'name': 'SupportStatus', 'shape_name': 'HubContentSupportStatus'}]","['Supported', 'Deprecated', 'Restricted']"
HubContentPresignedUrls,resource,['create'],[],"['Hub', 'HubContent']",[],['CreateHubContentPresignedUrls'],[],[]
HubContentReference,resource,['create'],"['delete', 'update']","['Hub', 'HubContent']",[],"['CreateHubContentReference', 'DeleteHubContentReference', 'UpdateHubContentReference']",[],[]
HumanTaskUi,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateHumanTaskUi', 'DeleteHumanTaskUi', 'DescribeHumanTaskUi', 'ListHumanTaskUis', 'UpdateHumanTaskUi']","[{'name': 'HumanTaskUiStatus', 'shape_name': 'HumanTaskUiStatus'}]","['Active', 'Deleting']"
HyperParameterTuningJob,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'stop', 'wait', 'wait_for_delete']",[],[],"['CreateHyperParameterTuningJob', 'DeleteHyperParameterTuningJob', 'DescribeHyperParameterTuningJob', 'ListHyperParameterTuningJobs', 'StopHyperParameterTuningJob']","[{'name': 'HyperParameterTuningJobStatus', 'shape_name': 'HyperParameterTuningJobStatus'}]","['Completed', 'InProgress', 'Failed', 'Stopped', 'Stopping', 'Deleting', 'DeleteFailed']"
HyperParameterTuningJobInternal,resource,['create'],['stop'],['HyperParameterTuningJob'],[],"['CreateHyperParameterTuningJobInternal', 'StopHyperParameterTuningJobInternal']",[],[]
Image,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateImage', 'DeleteImage', 'DescribeImage', 'ListImages', 'UpdateImage']","[{'name': 'ImageStatus', 'shape_name': 'ImageStatus'}]","['CREATING', 'CREATED', 'CREATE_FAILED', 'UPDATING', 'UPDATE_FAILED', 'DELETING', 'DELETE_FAILED']"
ImageVersion,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",['Image'],[],"['CreateImageVersion', 'DeleteImageVersion', 'DescribeImageVersion', 'ListImageVersions', 'UpdateImageVersion']","[{'name': 'ImageVersionStatus', 'shape_name': 'ImageVersionStatus'}]","['CREATING', 'CREATED', 'CREATE_FAILED', 'DELETING', 'DELETE_FAILED']"
InferenceComponent,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",['Endpoint'],[],"['CreateInferenceComponent', 'DeleteInferenceComponent', 'DescribeInferenceComponent', 'ListInferenceComponents', 'UpdateInferenceComponent']","[{'name': 'InferenceComponentStatus', 'shape_name': 'InferenceComponentStatus'}]","['InService', 'Creating', 'Updating', 'Failed', 'Deleting']"
InferenceExperiment,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'start', 'stop', 'update', 'wait_for_status']",['Endpoint'],[],"['CreateInferenceExperiment', 'DeleteInferenceExperiment', 'DescribeInferenceExperiment', 'ListInferenceExperiments', 'StartInferenceExperiment', 'StopInferenceExperiment', 'UpdateInferenceExperiment']","[{'name': 'Status', 'shape_name': 'InferenceExperimentStatus'}]","['Creating', 'Created', 'Updating', 'Running', 'Starting', 'Stopping', 'Completed', 'Cancelled']"
InferenceRecommendationsJob,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'stop', 'wait', 'wait_for_delete']",[],[],"['CreateInferenceRecommendationsJob', 'DeleteInferenceRecommendationsJob', 'DescribeInferenceRecommendationsJob', 'ListInferenceRecommendationsJobs', 'StopInferenceRecommendationsJob']","[{'name': 'Status', 'shape_name': 'RecommendationJobStatus'}]","['PENDING', 'IN_PROGRESS', 'COMPLETED', 'FAILED', 'STOPPING', 'STOPPED', 'DELETING', 'DELETED']"
LabelingJob,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'stop', 'wait']",[],[],"['CreateLabelingJob', 'DeleteLabelingJob', 'DescribeLabelingJob', 'ListLabelingJobs', 'StopLabelingJob']","[{'name': 'LabelingJobStatus', 'shape_name': 'LabelingJobStatus'}]","['Initializing', 'InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
LineageGroup,resource,"['create', 'get', 'get_all']","['delete', 'refresh']",[],[],"['CreateLineageGroup', 'DeleteLineageGroup', 'DescribeLineageGroup', 'ListLineageGroups']",[],[]
LineageGroupInternal,resource,['create'],[],['LineageGroup'],[],['CreateLineageGroupInternal'],[],[]
MlflowApp,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateMlflowApp', 'DeleteMlflowApp', 'DescribeMlflowApp', 'ListMlflowApps', 'UpdateMlflowApp']","[{'name': 'Status', 'shape_name': 'MlflowAppStatus'}]","['Creating', 'Created', 'CreateFailed', 'Updating', 'Updated', 'UpdateFailed', 'Deleting', 'DeleteFailed', 'Deleted']"
MlflowTrackingServer,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'start', 'stop', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateMlflowTrackingServer', 'DeleteMlflowTrackingServer', 'DescribeMlflowTrackingServer', 'ListMlflowTrackingServers', 'StartMlflowTrackingServer', 'StopMlflowTrackingServer', 'UpdateMlflowTrackingServer']","[{'name': 'TrackingServerStatus', 'shape_name': 'TrackingServerStatus'}]","['Creating', 'Created', 'CreateFailed', 'Updating', 'Updated', 'UpdateFailed', 'Deleting', 'DeleteFailed', 'Stopping', 'Stopped', 'StopFailed', 'Starting', 'Started', 'StartFailed', 'MaintenanceInProgress', 'MaintenanceComplete', 'MaintenanceFailed', 'Upgrading', 'Upgraded', 'UpgradeFailed', 'RollingBack', 'RolledBack', 'RollbackFailed']"
Model,resource,"['create', 'get', 'get_all']","['delete', 'refresh']",[],[],"['CreateModel', 'DeleteModel', 'DescribeModel', 'ListModels']",[],[]
ModelBiasJobDefinition,resource,"['create', 'get', 'get_all']","['delete', 'refresh']",[],[],"['CreateModelBiasJobDefinition', 'DeleteModelBiasJobDefinition', 'DescribeModelBiasJobDefinition', 'ListModelBiasJobDefinitions']",[],[]
ModelCard,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreateModelCard', 'DeleteModelCard', 'DescribeModelCard', 'ListModelCards', 'UpdateModelCard']","[{'name': 'ModelCardStatus', 'shape_name': 'ModelCardStatus'}]","['Draft', 'PendingReview', 'Approved', 'Archived']"
ModelCardExportJob,resource,"['create', 'get', 'get_all']","['refresh', 'wait']",['ModelCard'],[],"['CreateModelCardExportJob', 'DescribeModelCardExportJob', 'ListModelCardExportJobs']","[{'name': 'Status', 'shape_name': 'ModelCardExportJobStatus'}]","['InProgress', 'Completed', 'Failed']"
ModelExplainabilityJobDefinition,resource,"['create', 'get', 'get_all']","['delete', 'refresh']",[],[],"['CreateModelExplainabilityJobDefinition', 'DeleteModelExplainabilityJobDefinition', 'DescribeModelExplainabilityJobDefinition', 'ListModelExplainabilityJobDefinitions']",[],[]
ModelInternal,resource,['create'],['delete'],[],[],"['CreateModelInternal', 'DeleteModelInternal']",[],[]
ModelPackage,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",['ModelPackageGroup'],[],"['CreateModelPackage', 'DeleteModelPackage', 'DescribeModelPackage', 'ListModelPackages', 'UpdateModelPackage']","[{'name': 'ModelPackageStatus', 'shape_name': 'ModelPackageStatus'}]","['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting']"
ModelPackageGroup,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateModelPackageGroup', 'DeleteModelPackageGroup', 'DescribeModelPackageGroup', 'ListModelPackageGroups']","[{'name': 'ModelPackageGroupStatus', 'shape_name': 'ModelPackageGroupStatus'}]","['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting', 'DeleteFailed']"
ModelQualityJobDefinition,resource,"['create', 'get', 'get_all']","['delete', 'refresh']",[],[],"['CreateModelQualityJobDefinition', 'DeleteModelQualityJobDefinition', 'DescribeModelQualityJobDefinition', 'ListModelQualityJobDefinitions']",[],[]
MonitoringAlert,resource,['get_all'],['update'],[],[],"['ListMonitoringAlerts', 'UpdateMonitoringAlert']",[],[]
MonitoringExecution,resource,"['get', 'get_all']","['refresh', 'wait_for_status']",[],[],"['DescribeMonitoringExecution', 'ListMonitoringExecutions']","[{'name': 'MonitoringExecutionStatus', 'shape_name': 'ExecutionStatus'}]","['Pending', 'Completed', 'CompletedWithViolations', 'InProgress', 'Failed', 'Stopping', 'Stopped']"
MonitoringSchedule,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'start', 'stop', 'update', 'wait_for_status']",[],[],"['CreateMonitoringSchedule', 'DeleteMonitoringSchedule', 'DescribeMonitoringSchedule', 'ListMonitoringSchedules', 'StartMonitoringSchedule', 'StopMonitoringSchedule', 'UpdateMonitoringSchedule']","[{'name': 'MonitoringScheduleStatus', 'shape_name': 'ScheduleStatus'}]","['Pending', 'Failed', 'Scheduled', 'Stopped']"
NotebookInstance,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'start', 'stop', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateNotebookInstance', 'DeleteNotebookInstance', 'DescribeNotebookInstance', 'ListNotebookInstances', 'StartNotebookInstance', 'StopNotebookInstance', 'UpdateNotebookInstance']","[{'name': 'NotebookInstanceStatus', 'shape_name': 'NotebookInstanceStatus'}]","['Pending', 'InService', 'Stopping', 'Stopped', 'Failed', 'Deleting', 'Updating']"
NotebookInstanceLifecycleConfig,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update']",[],[],"['CreateNotebookInstanceLifecycleConfig', 'DeleteNotebookInstanceLifecycleConfig', 'DescribeNotebookInstanceLifecycleConfig', 'ListNotebookInstanceLifecycleConfigs', 'UpdateNotebookInstanceLifecycleConfig']",[],[]
OptimizationJob,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'stop', 'wait']",[],[],"['CreateOptimizationJob', 'DeleteOptimizationJob', 'DescribeOptimizationJob', 'ListOptimizationJobs', 'StopOptimizationJob']","[{'name': 'OptimizationJobStatus', 'shape_name': 'OptimizationJobStatus'}]","['INPROGRESS', 'COMPLETED', 'FAILED', 'STARTING', 'STOPPING', 'STOPPED']"
PartnerApp,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'start', 'stop', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreatePartnerApp', 'DeletePartnerApp', 'DescribePartnerApp', 'ListPartnerApps', 'StartPartnerApp', 'StopPartnerApp', 'UpdatePartnerApp']","[{'name': 'Status', 'shape_name': 'PartnerAppStatus'}]","['Creating', 'Updating', 'Deleting', 'Available', 'Failed', 'UpdateFailed', 'Deleted']"
PartnerAppPresignedUrl,resource,['create'],[],[],[],['CreatePartnerAppPresignedUrl'],[],[]
PersistentVolume,resource,"['create', 'get']","['delete', 'refresh', 'wait_for_delete', 'wait_for_status']",[],[],"['CreatePersistentVolume', 'DeletePersistentVolume', 'DescribePersistentVolume']","[{'name': 'Status', 'shape_name': 'PersistentVolumeStatus'}]","['Creating', 'Available', 'Attaching', 'InUse', 'Deleting', 'Failed']"
Pipeline,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreatePipeline', 'DeletePipeline', 'DescribePipeline', 'ListPipelines', 'UpdatePipeline']","[{'name': 'PipelineStatus', 'shape_name': 'PipelineStatus'}]","['Active', 'Deleting']"
PipelineExecution,resource,"['get', 'get_all']","['refresh', 'start', 'stop', 'update', 'wait_for_status']",[],[],"['DescribePipelineExecution', 'ListPipelineExecutions', 'StartPipelineExecution', 'StopPipelineExecution', 'UpdatePipelineExecution']","[{'name': 'PipelineExecutionStatus', 'shape_name': 'PipelineExecutionStatus'}]","['Executing', 'Stopping', 'Stopped', 'Failed', 'Succeeded']"
PresignedDomainUrl,resource,['create'],[],"['Space', 'UserProfile']",[],['CreatePresignedDomainUrl'],[],[]
PresignedDomainUrlWithPrincipalTag,resource,['create'],[],[],[],['CreatePresignedDomainUrlWithPrincipalTag'],[],[]
PresignedMlflowAppUrl,resource,['create'],[],[],[],['CreatePresignedMlflowAppUrl'],[],[]
PresignedMlflowTrackingServerUrl,resource,['create'],[],[],[],['CreatePresignedMlflowTrackingServerUrl'],[],[]
PresignedNotebookInstanceUrl,resource,['create'],[],['NotebookInstance'],[],['CreatePresignedNotebookInstanceUrl'],[],[]
ProcessingJob,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'stop', 'wait']",[],[],"['CreateProcessingJob', 'DeleteProcessingJob', 'DescribeProcessingJob', 'ListProcessingJobs', 'StopProcessingJob']","[{'name': 'ProcessingJobStatus', 'shape_name': 'ProcessingJobStatus'}]","['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
ProcessingJobInternal,resource,['create'],"['delete', 'stop']",['ProcessingJob'],[],"['CreateProcessingJobInternal', 'DeleteProcessingJobInternal', 'StopProcessingJobInternal']",[],[]
Project,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreateProject', 'DeleteProject', 'DescribeProject', 'ListProjects', 'UpdateProject']","[{'name': 'ProjectStatus', 'shape_name': 'ProjectStatus'}]","['Pending', 'CreateInProgress', 'CreateCompleted', 'CreateFailed', 'DeleteInProgress', 'DeleteFailed', 'DeleteCompleted', 'UpdateInProgress', 'UpdateCompleted', 'UpdateFailed']"
QuotaAllocation,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateQuotaAllocation', 'DeleteQuotaAllocation', 'DescribeQuotaAllocation', 'ListQuotaAllocations', 'UpdateQuotaAllocation']","[{'name': 'QuotaAllocationStatus', 'shape_name': 'SchedulerResourceStatus'}]","['Creating', 'CreateFailed', 'CreateRollbackFailed', 'Created', 'Updating', 'UpdateFailed', 'UpdateRollbackFailed', 'Updated', 'Deleting', 'DeleteFailed', 'DeleteRollbackFailed', 'Deleted']"
ResourceCatalog,resource,['get_all'],[],[],[],['ListResourceCatalogs'],[],[]
SagemakerServicecatalogPortfolio,resource,[],[],[],[],[],[],[]
Session,resource,[],['start'],[],[],['StartSession'],[],[]
SharedModel,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update']",['Model'],['CopySharedModel'],"['CopySharedModel', 'CreateSharedModel', 'DeleteSharedModel', 'DescribeSharedModel', 'ListSharedModels', 'UpdateSharedModel']",[],[]
SharedModelReviewers,resource,['add'],[],[],['RemoveSharedModelReviewers'],"['AddSharedModelReviewers', 'RemoveSharedModelReviewers']",[],[]
Space,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateSpace', 'DeleteSpace', 'DescribeSpace', 'ListSpaces', 'UpdateSpace']","[{'name': 'Status', 'shape_name': 'SpaceStatus'}]","['Deleting', 'Failed', 'InService', 'Pending', 'Updating', 'Update_Failed', 'Delete_Failed']"
StudioLifecycleConfig,resource,"['create', 'get', 'get_all']","['delete', 'refresh']",[],[],"['CreateStudioLifecycleConfig', 'DeleteStudioLifecycleConfig', 'DescribeStudioLifecycleConfig', 'ListStudioLifecycleConfigs']",[],[]
SubscribedWorkteam,resource,"['get', 'get_all']",['refresh'],[],[],"['DescribeSubscribedWorkteam', 'ListSubscribedWorkteams']",[],[]
Tag,resource,['get_all'],[],[],[],['ListTags'],[],[]
